Opponent,HomeGameNumber,HomeGameDateDiff,BowlTier,MonthName,DayofWeek,DayofMonth,IsHoliday,Holiday,CompetingSportingTeamCount,NumofPlayersWhoMadeAllStarTeamLastSeason,Division,Conference,OppPrevSeasonWinCount,OppPrevSeasonLoseCount,OppPrevSeasonWin%,OppPrevSeasonConfSemis,OppPrevSeasonConfFinals,OppPrevSeasonNBAFinals,OppPrevSeasonNBAChamps,
Charlotte Hornets,30,14,D,February,Tuesday,27,0,NULL,NULL,0,Southeast,Eastern,27,55,0.329268293,0,0,0,0,11796.619
Los Angeles Clippers,31,6,D,March,Monday,4,0,NULL,NULL,1,Pacific,Western,44,38,0.536585366,0,0,0,0,781.5
Philadelphia 76ers,32,10,B,March,Thursday,14,0,NULL,NULL,1,Atlantic,Eastern,54,28,0.658536585,1,0,0,0,781.5
Phoenix Suns,33,3,A,March,Sunday,17,1,Saint Patrick's Day,NULL,1,Pacific,Western,45,37,0.548780488,1,0,0,0,781.5
Brooklyn Nets,34,4,C,March,Thursday,21,0,NULL,NULL,0,Atlantic,Eastern,45,37,0.548780488,0,0,0,0,84428.286
Oklahoma City Thunder,35,3,C,March,Sunday,24,0,NULL,NULL,1,Northwest,Western,40,42,0.487804878,0,0,0,0,11796.619
Los Angeles Lakers,36,2,A,March,Tuesday,26,0,NULL,NULL,1,Pacific,Western,43,39,0.524390244,1,1,0,0,84428.286
Memphis Grizzlies,37,8,D,April,Wednesday,3,0,NULL,1,2,Southwest,Western,51,31,0.62195122,1,0,0,0,84428.286
Toronto Raptors,38,2,C,April,Friday,5,0,NULL,1,1,Atlantic,Eastern,41,41,0.5,0,0,0,0,5384.41
New York Knicks,39,2,C,April,Sunday,7,0,NULL,1,1,Atlantic,Eastern,47,35,0.573170732,1,0,0,0,5384.41
Boston Celtics,40,2,B,April,Tuesday,9,0,NULL,NULL,2,Atlantic,Eastern,57,25,0.695121951,1,1,0,0,84428.286
Orlando Magic,41,1,D,April,Wednesday,10,0,NULL,NULL,0,Southeast,Eastern,34,48,0.414634146,0,0,0,0,11796.619
